club,season,opponent,source_url,published_at,relation_type,fact_type,subject,value,confidence,score,match_date,notes
Górki Myślenice,2017/18,Beskid Tokarnia,https://miasto-info.pl/myslenice/12394%2Cpilka-nozna-a-klasa-gorki-koncza-sezon-na-11-miejscu.html,2018-06-27,post_match,assist,Ignacy Dudek,Mateusz Biela,0.96,6:2,2018-06-23,Mateusz Biela asystował przy golu Ignacego Dudka w 44 minucie
Górki Myślenice,2017/18,Beskid Tokarnia,https://miasto-info.pl/myslenice/12394%2Cpilka-nozna-a-klasa-gorki-koncza-sezon-na-11-miejscu.html,2018-06-27,post_match,assist,Tomasz Tokoń,Ignacy Dudek,0.96,6:2,2018-06-23,Ignacy Dudek asystował przy golu Tomasza Tokonia w 89 minucie
Górki Myślenice,2017/18,Beskid Tokarnia,https://miasto-info.pl/myslenice/12394%2Cpilka-nozna-a-klasa-gorki-koncza-sezon-na-11-miejscu.html,2018-06-27,post_match,captain,,Mateusz Obierzyński,0.96,6:2,2018-06-23,Mateusz Obierzyński był kapitanem Górek
Topór Tenczyn,2017/18,Wrzosy Osieczany,https://lkstoportenczyn.futbolowo.pl/news/article/zwyciestwo-z-wrzosami-osieczany-po-emocjonujacym-meczu,2017-08-21,post_match,opening_goal_scorer,,Robert Michalak,0.98,2:1,2017-08-20,Robert Michalak otworzył wynik głową po dośrodkowaniu z lewej strony
Topór Tenczyn,2017/18,Wrzosy Osieczany,https://lkstoportenczyn.futbolowo.pl/news/article/zwyciestwo-z-wrzosami-osieczany-po-emocjonujacym-meczu,2017-08-21,post_match,header_scorer,,Robert Michalak,0.98,2:1,2017-08-20,Pierwsza bramka Roberta Michalaka padła głową
Topór Tenczyn,2017/18,Wrzosy Osieczany,https://lkstoportenczyn.futbolowo.pl/news/article/zwyciestwo-z-wrzosami-osieczany-po-emocjonujacym-meczu,2017-08-21,post_match,brace_scorer,,Robert Michalak,0.98,2:1,2017-08-20,Robert Michalak zdobył obie bramki Toporu
Wrzosy Osieczany,2017/18,Topór Tenczyn,https://lkstoportenczyn.futbolowo.pl/news/article/zwyciestwo-z-wrzosami-osieczany-po-emocjonujacym-meczu,2017-08-21,post_match,free_kick_scorer,,Emil Bałucki,0.98,2:1,2017-08-20,Emil Bałucki wyrównał na 1:1 bezpośrednim uderzeniem z rzutu wolnego
Topór Tenczyn,2017/18,Gościbia II Sułkowice,https://lkstoportenczyn.futbolowo.pl/news/article/remis-z-goscibia-ii-sulkowice,2017-08-26,post_match,comeback_from,,0:2,0.98,2:2,2017-08-23,Topór przegrywał 0:2 i po przerwie doprowadził do remisu
Topór Tenczyn,2017/18,Gościbia II Sułkowice,https://lkstoportenczyn.futbolowo.pl/news/article/remis-z-goscibia-ii-sulkowice,2017-08-26,post_match,header_scorer,,Damian Salawa,0.98,2:2,2017-08-23,Damian Salawa zdobył pierwszą bramkę Toporu głową
Topór Tenczyn,2017/18,Gościbia II Sułkowice,https://lkstoportenczyn.futbolowo.pl/news/article/remis-z-goscibia-ii-sulkowice,2017-08-26,post_match,equalizer_scorer,,Robert Michalak,0.98,2:2,2017-08-23,Robert Michalak zdobył bramkę wyrównującą po odbiciu piłki od poprzeczki
Beskid Tokarnia,2017/18,Topór Tenczyn,https://lkstoportenczyn.futbolowo.pl/news/article/beskid-obnazyl-fatalne-bledy-toporu,2017-08-28,post_match,four_goal_scorer,,Filip Bednarz,0.99,1:5,2017-08-27,Filip Bednarz zdobył cztery z pięciu bramek Beskidu
Topór Tenczyn,2017/18,Beskid Tokarnia,https://lkstoportenczyn.futbolowo.pl/news/article/beskid-obnazyl-fatalne-bledy-toporu,2017-08-28,post_match,penalty_scorer,,Robert Michalak,0.99,1:5,2017-08-27,Robert Michalak zdobył honorową bramkę Toporu z rzutu karnego
Dziecanovia Dziekanowice,2017/18,Topór Tenczyn,https://lkstoportenczyn.futbolowo.pl/news/article/minimalna-porazka-z-dziecanovia,2017-09-15,post_match,opening_goal_scorer,,Sebastian Klimczyk,0.94,0:1,2017-09-06,Klimczyk zdobył jedyną bramkę już w 27 sekundzie; pełne imię potwierdzone w kadrze Dziecanovii z tego sezonu
Topór Tenczyn,2017/18,Orzeł Nowa Wieś,https://lkstoportenczyn.futbolowo.pl/news/article/wazne-zwyciestwo-z-orlem-nowa-wies,2017-09-21,post_match,hat_trick_scorer,,Robert Michalak,0.99,4:1,2017-09-17,Robert Michalak skompletował klasycznego hat-tricka w pierwszej połowie
Topór Tenczyn,2017/18,Orzeł Nowa Wieś,https://lkstoportenczyn.futbolowo.pl/news/article/wazne-zwyciestwo-z-orlem-nowa-wies,2017-09-21,post_match,penalty_scorer,,Robert Michalak,0.99,4:1,2017-09-17,Trzeci gol Roberta Michalaka padł z rzutu karnego
Topór Tenczyn,2017/18,Orzeł Nowa Wieś,https://lkstoportenczyn.futbolowo.pl/news/article/wazne-zwyciestwo-z-orlem-nowa-wies,2017-09-21,post_match,comeback_from,,0:1,0.99,4:1,2017-09-17,Topór stracił gola w 9 minucie a następnie wygrał 4:1
Topór Tenczyn,2017/18,Orzeł Nowa Wieś,https://zzz.futbolowo.pl/game/583922/topor-tenczyn-vs-orzel-nowa-wies,,post_match,captain,,Krzysztof Dziadkowiec,0.98,4:1,2017-09-17,Karta meczu Futbolowo oznacza Krzysztofa Dziadkowca jako kapitana Toporu
Topór Tenczyn,2017/18,LKS Rudnik,https://lkstoportenczyn.futbolowo.pl/news/article/wyjazdowe-zwyciestwo-w-rudniku,2017-11-24,post_match,opening_goal_scorer,,Daniel Flaga,0.98,0:1,2017-10-07,Daniel Flaga zdobył jedyną bramkę spotkania pod koniec pierwszej połowy
Topór Tenczyn,2017/18,LKS Rudnik,https://lkstoportenczyn.futbolowo.pl/news/article/wyjazdowe-zwyciestwo-w-rudniku,2017-11-24,post_match,assist,Daniel Flaga,Bartłomiej Paś,0.98,0:1,2017-10-07,Bartłomiej Paś zagrał wzdłuż bramki do zamykającego akcję Daniela Flagi
Topór Tenczyn,2017/18,Jordan Sum Zakliczyn,https://lkstoportenczyn.futbolowo.pl/news/article/zwyciestwo-z-jordanem-swietna-gra-toporu-mimo-brakow-kadrowych,2017-11-24,post_match,brace_scorer,,Krzysztof Paś,0.99,2:0,2017-10-15,Krzysztof Paś zdobył obie bramki Toporu po kontratakach
